Label	Definition
image	An image is an affine projection to a two dimensional surface, of measurements of some quality of an entity or entities repeated at regular intervals across a spatial range, where the measurements are represented as color and luminosity on the projected on surface.
data about an ontology part	Data about an ontology part is a data item about a part of an ontology, for example a term
measurement datum	A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device.
material information bearer	A material entity in which a concretization of an information content entity inheres.
histogram	"A histogram is a report graph which is a statistical description of a
distribution in terms of occurrence frequencies of different event classes."
heatmap	"A heatmap is a report graph which is a graphical representation of data
where the values taken by a variable(s) are shown as colors in a
two-dimensional map."
dendrogram	"A dendrogram is a report graph which is a tree diagram
frequently used to illustrate the arrangement of the clusters produced by a
clustering algorithm."
scatter plot	A scatterplot is a graph which uses Cartesian coordinates to display values for two variables for a set of data. The data is displayed as a collection of points, each having the value of one variable determining the position on the horizontal axis and the value of the other variable determining the position on the vertical axis.
obsolescence reason specification	The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.
figure	An information content entity consisting of a two dimensional arrangement of information content entities such that the arrangement itself is about something.
diagram	A figure that expresses one or more propositions
document	A collection of information content entities intended to be understood together as a whole
denotator type	A denotator type indicates how a term should be interpreted from an ontological perspective.
planned process	A process that realizes a plan which is the concretization of a plan specification.
regulator role	a regulatory role involved with making and/or enforcing relevant legislation and governmental orders
regulatory role	a role which inheres in material entities and is realized in the processes of making, enforcing or being defined by legislation or orders issued by a governmental body.
material supplier role	a role realized through the process of supplying materials such as animal subjects, reagents or other materials used in an investigation.
classified data set	A data set that is produced as the output of a class prediction data transformation and consists of a data set with assigned class labels.
processed material	Is a material entity that is created or changed during material processing.
evaluant role	a role that inheres in a material entity that is realized in an assay in which data is generated about the bearer of the evaluant role
assay	A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.
material processing	A planned process which results in physical changes in a specified input material
specimen role	a role borne by a material entity that is gained during a specimen collection process and that can be realized by use of the specimen in an investigation
organization	An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members.
protocol	A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.
heat function	A heat function is a function that increases the internal kinetic energy of a material
mechanical function	A mechanical function is a function that is realised via mechanical work (through an certain amount of energy transferred by some force).
cool function	A cool function is a function to decrease the internal kinetic energy of a material below the initial kinetic energy of that type of material.
environment control function	An environmental control function is a function that regulates a contained environment within specified parameter ranges. For example the control of light exposure, humidity and temperature.
regulatory agency	A regulatory agency is a organization that has responsibility over or for  the legislation (acts and regulations) for a given sector of the government.
measure function	Measure function is a function that is borne by a processed material  and realized in a process in which information about some entity is expressed relative to some reference.
manufacturing	Manufacturing is a process with the intent to produce a processed material which will have a function for future use. A person or organization (having manufacturer role) is a participant in this process
manufacturer role	Manufacturer role is a role which inheres in a person or organization and which is realized by a manufacturing process.
clustered data set	A data set that is produced as the output of a class discovery data transformation and consists of a data set with assigned discovered class labels.
specimen collection process	A planned process with the objective of collecting a specimen.
class prediction data transformation	A class prediction data transformation (sometimes called supervised classification) is a data transformation that has objective class prediction.
support vector machine	A support vector machine is a data transformation with a class prediction objective based on the construction of a separating hyperplane that maximizes the margin between two data sets of vectors in n-dimensional space.
decision tree building data transformation	A decision tree building data transformation is a data transformation that has objective decision tree induction.
GenePattern software	a software that provides access to more than 100 tools for gene expression analysis, proteomics, SNP analysis and common data processing tasks.
peak matching	Peak matching is a data transformation performed on a dataset of a graph of ordered data points (e.g. a spectrum) with the objective of pattern matching local maxima above a noise threshold
k-nearest neighbors	A k-nearest neighbors is a data transformation which achieves a class discovery or partitioning objective, in which an input data object with vector y is assigned to a class label based upon the k closest training data set points to y; where k is the largest value that class label is assigned.
CART	A CART (classification and regression trees) is a data transformation method for producing a classification or regression model with a tree-based structure.
statistical model validation	A data transformation which assesses how the results of a statistical analysis will generalize to an independent data set.
measurement device	A device in which a measure function inheres.
manufacturer	A person or organization that has a manufacturer role
sterilization function	a function to remove viable organisms from an input material
service provider role	is a role which inheres in a person or organization and is realized in in a planned process which provides access to training, materials or execution of protocols for an organization or person
processed specimen	A specimen that has been intentionally physically modified.
categorical label	A label that is part of a categorical datum and that indicates the value of the data item on the categorical scale.
device	A material entity that is designed to perform a function in a scientific investigation, but is not a reagent.
questionnaire	A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.
environmental control device	An environmental control device is a device which has the function to control some aspect of the environment such as temperature, or humidity.
autoclave	A device that is used to sterilize equipment and supplies by subjecting them to high pressure steam at 121 C or more, typically for 15 to 20 minutes depending on the size of the load and the contents.
categorical value specification	A value specification that is specifies one category out of a fixed number of nominal categories
value specification	An information content entity that specifies a value within a classification scheme or on a quantitative scale.
collection of specimens	A material entity that has two or more specimens as its parts.
histologic grade according to AJCC 7th edition	A categorical value specification that is a histologic grade assigned to a tumor slide specimen according to the American Joint Committee on Cancer (AJCC) 7th Edition grading system.
histologic grade according to the Fuhrman Nuclear Grading System	A categorical value specification that is a histologic grade assigned to a tumor slide specimen according to the Fuhrman Nuclear Grading System.
histologic grade for ovarian tumor	A categorical value specification that is a histologic grade assigned to a ovarian tumor.
histologic grade for ovarian tumor according to a two-tier grading system	A histologic grade for ovarian tumor that is from a two-tier histological classification of tumors.
histologic grade for ovarian tumor according to the World Health Organization	A histologic grade for ovarian tumor that is from a histological classification by the World Health Organization (WHO).
pathologic primary tumor stage for colon and rectum according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of colorectal cancer following the rules of the TNM American Joint Committee on Cancer (AJCC) version 7 classification system as they pertain to staging of the primary tumor. TNM pathologic primary tumor findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
pathologic primary tumor stage for lung according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of lung cancer following the rules of the TNM American Joint Committee on Cancer (AJCC) version 7 classification system as they pertain to staging of the primary tumor. TNM pathologic primary tumor findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
pathologic primary tumor stage for kidney according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of renal cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of the primary tumor. TNM pathologic primary tumor findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
pathologic primary tumor stage for ovary according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of ovarian cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of the primary tumor. TNM pathologic primary tumor findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
pathologic lymph node stage for colon and rectum according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of colorectal cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of regional lymph nodes.
pathologic lymph node stage for lung according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of lung cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of regional lymph nodes.
pathologic lymph node stage for kidney according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of renal cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of regional lymph nodes.
pathologic lymph node stage for ovary according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of ovarian cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of regional lymph nodes.
pathologic distant metastases stage for colon according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of colon cancer following the rules of the TNM AJCC v7 classification system as they pertain to distant metastases. TNM pathologic distant metastasis findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
pathologic distant metastases stage for lung according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of lung cancer following the rules of the TNM AJCC v7 classification system as they pertain to distant metastases. TNM pathologic distant metastasis findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
pathologic distant metastases stage for kidney according to AJCC 7th edition	A categorical value specification that is a pathologic finding about one or more characteristics of renal cancer following the rules of the TNM AJCC v7 classification system as they pertain to distant metastases. TNM pathologic distant metastasis findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
pathologic distant metastases stage for ovary according to AJCC 7th edition	A categorical value specification that is a  pathologic finding about one or more characteristics of ovarian cancer following the rules of the TNM AJCC v7 classification system as they pertain to distant metastases. TNM pathologic distant metastasis findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
clinical tumor stage group according to AJCC 7th edition	A categorical value specification that is an assessment of the stage of a cancer according to the American Joint Committee on Cancer (AJCC) v7 staging systems.
International Federation of Gynecology and Obstetrics cervical cancer stage value specification	A categorical value specification that is an assessment of the stage of a gynecologic cancer according to the International Federation of Gynecology and Obstetrics (FIGO) staging systems.
International Federation of Gynecology and Obstetrics ovarian cancer stage value specification	A categorical value specification that is a pathologic finding about one or more characteristics of ovarian cancer following the rules of the FIGO classification system.
performance status value specification	A categorical value specification that is an assessment of a participant's performance status (general well-being and activities of daily life).
Eastern Cooperative Oncology Group score value specification	A performance status value specification designed by the Eastern Cooperative Oncology Group to assess disease progression and its affect on the daily living abilities of the patient.
Karnofsky score vaue specification	A performance status value specification designed for classifying patients 16 years of age or older by their functional impairment.
material supplier	A person or organization that provides material supplies to other people or organizations.
specimen	A material entity that has the specimen role.
data transformation	A planned process that produces output data from input data.
leave one out cross validation method	is a data transformation :  leave-one-out cross-validation (LOOCV) involves using a single observation from the original sample as the validation data, and the remaining observations as the training data. This is repeated such that each observation in the sample is used once as the validation data
k-means clustering	A k-means clustering is a data transformation which achieves a class discovery or partitioning objective, which takes as input a collection of objects (represented as points in multidimensional space) and which partitions them into a specified number k of clusters. The algorithm attempts to find the centers of natural clusters in the data. The most common form of the algorithm starts by partitioning the input points into k initial sets, either at random or using some heuristic data. It then calculates the mean point, or centroid, of each set. It constructs a new partition by associating each point with the closest centroid. Then the centroids are recalculated for the new clusters, and the algorithm repeated by alternate applications of these two steps until convergence, which is obtained when the points no longer switch clusters (or alternatively centroids are no longer changed).
hierarchical clustering	A hierarchical clustering is a data transformation which achieves a class discovery objective, which takes as input data item and builds a hierarchy of clusters. The traditional representation of this hierarchy is a tree (visualized by a dendrogram), with the individual input objects at one end (leaves) and a single cluster containing every object at the other (root).
dimensionality reduction	A dimensionality reduction is data partitioning which transforms each input m-dimensional vector (x_1, x_2, ..., x_m) into an output n-dimensional vector (y_1, y_2, ..., y_n), where n is smaller than m.
principal components analysis dimensionality reduction	A principal components analysis dimensionality reduction is a dimensionality reduction achieved by applying principal components analysis and by keeping low-order principal components and excluding higher-order ones.
data visualization	An planned process that creates images, diagrams or animations from the input data.
partitioning data transformation	A partitioning data transformation is a data transformation that has objective partitioning.
class discovery data transformation	A class discovery data transformation (sometimes called unsupervised classification) is a data transformation that has objective class discovery.
clustered data visualization	A data visualization which has input of a clustered data set and produces an output of a report graph which is capable of rendering data of this type.
concentration of	A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.
morphology	A quality of a single physical entity inhering in the bearer by virtue of the bearer's size or shape or structure.
length	A 1-D extent quality which is equal to the distance between two points.
temperature	A physical quality of the thermal energy of a system.
physical quality	A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.
pressure	A physical quality that inheres in a bearer by virtue of the bearer's amount of force per unit area it exerts.
physical object quality	A quality which inheres in a continuant.
electromagnetic (EM) radiation quality	A physical quality that inheres in an bearer by virtue of how that bearer interacts with electromagnetic radiation.
optical quality	An EM radiation quality in which the EM radiation is within the fiat range of the spectrum visible deemed to be light.
quality of a solid	A physical quality inhering in a bearer by virtue of the bearer's exhibiting the physical characteristics of an entity characterized by particles arranged such that their shape and volume are relatively stable.
quality of a liquid	A physical quality inhering in an entity exhibiting the physical characteristics of an amorphous (non-crystalline) form of matter between a gas and a solid that has a definite volume, but no definite shape.
radiation quality	A quality that inheres in an bearer by virtue of how that bearer interacts with radiation.
molecular quality	A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc.
quality of a substance	A quality inhering in a bearer by virtue of its constitution.
length unit	A unit which is a standard measure of the distance between two points.
mass unit	A unit which is a standard measure of the amount of matter/energy of a physical object.
time unit	A unit which is a standard measure of the dimension in which events occur in sequence.
measurement quality [imr]	"In relation to optical measuring methods a 
rating for the precision of a reconstructed
measurement object"
extrudate [imr]	"definded rigid Object based as result of an 
extrusion process"
geometry [geosparql]	A coherent set of direct positions in space. The positions are held within a Spatial Reference System (SRS).
point cloud [imr]	"A gathering of individual points with an 
with an unstructured spatial structure"
triangulation [imr]	"geometrical method to determine distances 
between to points"
millimeter [nist]	"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]"
surface of extrudate [imr]	uppermost layer of the extrudate
line in the surface of extrudate [imr]	cutout of a single line of the extrudate surface
shape [ncit]	The spatial arrangement of something as distinct from its substance.
shape [pato]	A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc).
stitching process [imr]	"use of different algorithms to determine the 
exact allignment respectively the characteristik shared edges"
stitching method [imr]	"alligning of single measurements to form a 
connected/combined measurement"
extrudate norm [imr]	"ideal dimensions and shape of the
extrudate defined by the manufacturer"
standard deviation [imr]	"a quantity expressing by how much the
members of a group differ from the mean
 value for the group"
standard deviation [Wikipedia]	The standard deviation is a measure of the amount of variation or dispersion of a set of values. [Wikipedia]
standard deviation [ncit]	A measure of the range of values in a set of numbers. Standard deviation is a statistic used as a measure of the dispersion or variation in a distribution, equal to the square root of the arithmetic mean of the squares of the deviations from the arithmetic mean.
interior orientation [jade]	"""The interior (intrinsic) orientation of a camera comprises all instrumental and mathematical elements which completely describe the imaging model within the camera. By taking proper account of the interior orientation, the real camera conforms to the pinhole camera model. It is a requirement of the model that there exists a reproducible image coordinate system so that geometric image values, such as measured image coordinates, can be transformed into the physical-mathematical imaging model."" (Luhmann et al. 2020: 162). A standard model of describing the interior orientation was proposed by D.C. Brown (1971)"
camera coordinate system [jade]	"""The camera coordinate system has its origin at the perspective centre of the image. It is further defined by reference features fixed in the camera (fiducial marks, réseau, sensor system). It can therefore be reconstructed from the image and related to an image measuring device"" (Luhmann et al. 2020: 278)"
exterior orientation [jade]	"""The exterior orientation consists of six parameters which describe the spatial position and orientation of the camera coordinate system with respect to the global object coordinate system"" (Luhmann et al. 2020: 277)"
camera calibration [jade]	"""The photogrammetric determination of the parameters of interior orientation is usually referred to as calibration. This is based on the idea that once a mechanically stable camera is calibrated, it may be moved from one image taking location to another whilst retaining its calibration."" (Luhmann, Robson et al. 2020: 170)"
bundle adjustment [jade]	"""Bundle adjustment [...] is a method for the simultaneous numerical fit of an unlimited number of spatially distributed images (bundles of rays). It makes use of photogrammetric observations (measured image points), survey observations and an object coordinate system. Using tie points, single images are merged into a global model in which the object surface can be reconstructed in three dimensions."" (Luhmann et al. 2020: 349f.)"
agent [ita]	An agent is a system that perceives its environment through sensors and can interact with it through actions.
agent [ncti]	An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect.
approximation [ita]	Approximation is a technique for approximating a value using historical or available observations from the domain.
function approximation [ita]	Function approximation is a technique for estimating an unknown underlying function using historical or available observations from the domain.
reinforcement learning [ita]	Reinforcement learning is a set of machine learning methods in which an agent autonomously learns a strategy to maximize a reward. Algorithms follow the trail-and-error principle, thus try several strategies and repeat those with a higher reward. During the training the agent produces an input, while the target output is only known to a teacher. The teacher gives feedback to the agent in form of a reward.
library [ita]	Libraries in programming languages are collections of prewritten code that users can use to optimize tasks.
cluster analysis [ita]	Clustering or cluster analysis is a unsupervised machine learning technique, which groups the unlabelled dataset. It can be defined as a way of grouping the data points into different clusters, consisting of similar data points.
cluster analysis [ncti]	Methods for grouping objects into subsets such that those within each cluster are more closely related to one another than objects assigned to different clusters.
data mining [ita]	A Database is a System for describing, storing and retrieving large amounts of data.
data mining [edam]	An information set with a regular structure. Although it can be applied to any set of information the term was invented to refer to computerized data, and is used almost exclusively in computing.
database [ita]	A Database is a System for describing, storing and retrieving large amounts of data.
database [ncti]	An information set with a regular structure. Although it can be applied to any set of information the term was invented to refer to computerized data, and is used almost exclusively in computing.
deep learning [ita]	Deep learning is a class of machine learning algorithms that uses multiple layers to progressively extract higher-level features from the raw input. There is no universally agreed-upon threshold of depth that divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. The CAP (credit assignment path) is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For simple neural networks (feedforward neural networks) this treshhold is reached with at least two hidden layers.
deep learning [ncti]	A subset of machine learning that is part of the broader family of machine learning methodologies based on artificial neural networks. A deep neural network has multiple layers between input and output layers to progressively extract higher level features from the raw input. (After DeepAI Machine Learning Glossary and Terms) [ NCI ]
input layer [ita]	The input layer of a neural network is composed of artificial input neurons, and brings the initial data into the system for further processing by subsequent layers of artificial neurons. The input layer is the very beginning of the workflow for the artificial neural network.
elastomers [ita]	Elastomers are dimensionally stable but elastically deformable plastics. They are producest by vulcanization of rubber.
output layer [ita]	The output layer in an artificial neural network is the last layer of neurons that produces given outputs for the program.
extrusion [ita]	Extrusion is a process used to create objects of a fixed cross-sectional profile by pushing material through a die of the desired cross-section.
extrusion [rex]	A transformation in which an atom or group Y connected to two other atoms or groups X and Z is lost from a molecule, leading to a product in which X is bonded to Z, e.g. X-Y-Z --> X-Z + Y.
extrusion [chmo]	A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.
hidden layer [ita]	In neural networks, a hidden layer is located between the input and output of the algorithm, in which the function applies weights to the inputs and directs them through an activation function as the output. In short, the hidden layers perform nonlinear transformations of the inputs entered into the network.
Industrie 4.0 [ita]	Industrie 4.0 is the intelligent networking of machines and processes in the industrial environment, with the help of information and communication technology and thus digitization of the industrial production.
rubber [ita]	Rubber is an elastic substance made either from the juice of particular tropical trees or artificially. It is raw material for car tires and other technical products.
Artificial Intelligence (AI) [ita]	Artifical intelligence is a branch of computer science dealing with the automation of intelligent behavior. Can be used in technical areas as methods of machine learning.
Artificial Intelligence (AI) [ncti]	Artificial intelligence is the branch of computer science that deals with writing computer programs that can solve problems creatively.
machine learning [ita]	Machine learning is a sub-area of ​​artificial intelligence that deals with artificial systems that adapt their actions to external conditions so that their output is improved according to defined standards. For this purpose, algorithms build a model based on training data. The algorithms does not learn to memorize, but uses patterns and laws, so the systems can also process unknown data. The learning algorithms are divided into supervised learning, unsupervised learning and reinforcement learning.
machine learning [ncti]	A computing system (inspired by biological neural networks) that learns (progressively improves its ability) to do tasks by considering examples without task-specific programming. (After DeepAI Machine Learning Glossary and Terms)
machine learning [obi]	A planned process in which statistical techniques are used to give computers the ability to learn about patterns in data, without being explicitly programmed. Learning is defined in this case as progressively improving performance on a specific task.
machine learning [edam]	A topic concerning the application of artificial intelligence methods to algorithms, in order to create methods that can learn from data in order to generate an ouput, rather than relying on explicitly encoded information only.
microcontroller [ita]	Microcontrollers are compact integrated circuits designed to govern a specific operation in an embedded system. Typically a microcontroller includes a processor, memory and input/output peripherals on a single chip.
mixing [ita]	Mixing is the first of the three areas of an extrusion line, where the input material is homogenized and mixed. This occurs within a screw element through shearing and mixing of the input material.
mixing [chmo]	The combining of components, particles or layers into a more homogeneous state. The mixing may be achieved manually or mechanically by shifting the material with stirrers or pumps or by revolving or shaking the container. The process μst not permit segregation of particles of different size or properties. Homogeneity may be considered to have been achieved in a practical sense when the sampling error of the processed portion is negligible compared to the total error of the measurement system.
mixing [ncti]	To bring or combine together or with something else; add as an additional element or part.
pattern recognition [ita]	Pattern recognition is the automated recognition of patterns and regularities in data. Pattern recognition has its origins in statistics and engineering; some modern approches include the use of machine learning, due to the increased availability of big data and a new abundance of processing power.
pattern recognition [ncti]	A branch of artificial intelligence concerned with the identification of visual or audio patterns by computers.For the computer to recognize the patterns, the patterns must be converted into digital signals and compared with patterns already stored in memory.Some uses of this technology are in character recognition, voice recognition, handwriting recognition, and robotics. (High-Tech Dictionary) [ NCI ]
neural network [ita]	Artificial neural networks (ANNs) are based on a reduced set of concepts from biological neural systems. It is composed of different Layeres, an input layer, one or more hidden layers and an output layer. Each layer consists of several artificial neurons. The connections of the biological neuron are modeled in artificial neural networks as weights between the artificial neurons. A positive weight reflects an excitatory connection, while negative values mean inhibitory connections. An activation function controls the amplitude of the output. They can be used to model complex relationships between inputs and outputs or to find patterns in data. Thereby ANNs can be trained by machine learning techniques to approximate a function, when the complexity of the data or task makes the design of such function by hand impractical. Other tasks in which ANNs can be trained are classification, including pattern recognition, clustering and Data processing, including clustering.
neural network [ncti]	A computer algorithm to solve non-linear optimization problems. The algorithm was derived in analogy to the way the densely interconnected, parallel structure of the brain processes information.
online characterisation [ita]	Online characterisation is the characterization of the material properties during the process and on the real process line in order to be able to react to fluctuations during production.
online optimization [ita]	In online optimization decisions are made directly in the real process section and without knowledge of future results. Also often the data of the problem instance is not complete.
optimization [ita]	Optimizers are algorithms or methods used to solve optimization problems by minimize an error function (loss function) or to maximize the efficiency of production. Optimizers are mathematical functions which are dependent on model's learnable parameters i.e Weights & Biases.
optimization [ncti]	An activity that attempts to find the best solution to a problem.
Production-in-the-Loop [ita]	Production-in-the-Loop describes a method, in which information from the production process is continuously recorded and the process is adapted to the changing framework conditions on the basis of this information.
regression analysis [ita]	Regression analysis consists of a set of machine learning methods that allow us to predict a continuous outcome variable (y) based on the value of one or multiple predictor variables (x). Regression is a supervised learning technique, in which Algorithems build a mathematical Modell or equation that defines y as a funktion of x.
simulation environment [ita]	A simulation environment is a virtual environment that maps/models the real process. A simulation model thus makes it possible to train control tasks using learning algorithms offline, i.e. not on the real system but on the computer. Neural networks can be used to create such model.
test dataset [ita]	The test dataset is a subset of the dataset that is held back from training the model and given to the learning algorithm to test the trained model. Typically it consists of 20% to 30% of the original dataset. It is the sample of data used to provide an unbiased evaluation of a final model fit on the training dataset.
train dataset [ita]	The train dataset is a subset of the dataset that is given to the learning algorithm to train a model. Typically it consists of 70% to 80% of the original dataset. It is the sample of data used to fit the model.
supervised learning [ita]	Supervised learning is the machine learning task of learning a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples. In supervised learning, each example is a pair consisting of an input object (typically a vector) and a desired output value (target).
supervised learning [obi]	A machine learning process using a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples.
unsupervised learning [ita]	Unsupervised learning is a type of algorithm that learns patterns from untagged data. The hope is that through mimicry, which is an important mode of learning in people, the machine is forced to build a compact internal representation of its world and then generate imaginative content from it. Unsupervised methods exhibit self-organization that captures patterns as probability densities or a combination of neural feature preferences.
unsupervised learning [obi]	"A machine learning process that infers a function describing the structure of ""unlabeled"" data (i.e. data that has not been classified or categorized)."
