,Class,Label,Definition
51,IAO_0000064,algorithm,A plan specification which describes the inputs and output of mathematical functions as well as workflow of execution for achieving an predefined objective. Algorithms are realized usually by means of implementation as computer programs for execution by automata.
52,IAO_0000078,curation status specification,The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.
53,IAO_0000100,data set,A data item that is an aggregate of other data items of the same type that have something in common. Averages and distributions can be determined for data sets.
54,IAO_0000101,image,"An image is an affine projection to a two dimensional surface, of measurements of some quality of an entity or entities repeated at regular intervals across a spatial range, where the measurements are represented as color and luminosity on the projected on surface."
55,IAO_0000102,data about an ontology part,"Data about an ontology part is a data item about a part of an ontology, for example a term"
56,IAO_0000109,measurement datum,A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device.
57,IAO_0000178,material information bearer,A material entity in which a concretization of an information content entity inheres.
58,IAO_0000179,histogram,"A histogram is a report graph which is a statistical description of a
distribution in terms of occurrence frequencies of different event classes."
59,IAO_0000180,heatmap,"A heatmap is a report graph which is a graphical representation of data
where the values taken by a variable(s) are shown as colors in a
two-dimensional map."
60,IAO_0000183,dendrogram,"A dendrogram is a report graph which is a tree diagram
frequently used to illustrate the arrangement of the clusters produced by a
clustering algorithm."
61,IAO_0000184,scatter plot,"A scatterplot is a graph which uses Cartesian coordinates to display values for two variables for a set of data. The data is displayed as a collection of points, each having the value of one variable determining the position on the horizontal axis and the value of the other variable determining the position on the vertical axis."
62,IAO_0000225,obsolescence reason specification,The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value.
63,IAO_0000308,figure,An information content entity consisting of a two dimensional arrangement of information content entities such that the arrangement itself is about something.
64,IAO_0000309,diagram,A figure that expresses one or more propositions
65,IAO_0000310,document,A collection of information content entities intended to be understood together as a whole
66,IAO_0000409,denotator type,A denotator type indicates how a term should be interpreted from an ontological perspective.
67,OBI_0000011,planned process,A process that realizes a plan which is the concretization of a plan specification.
68,OBI_0000014,regulator role,a regulatory role involved with making and/or enforcing relevant legislation and governmental orders
69,OBI_0000017,regulatory role,"a role which inheres in material entities and is realized in the processes of making, enforcing or being defined by legislation or orders issued by a governmental body."
70,OBI_0000018,material supplier role,"a role realized through the process of supplying materials such as animal subjects, reagents or other materials used in an investigation."
71,OBI_0000023,classified data set,A data set that is produced as the output of a class prediction data transformation and consists of a data set with assigned class labels.
72,OBI_0000047,processed material,Is a material entity that is created or changed during material processing.
73,OBI_0000067,evaluant role,a role that inheres in a material entity that is realized in an assay in which data is generated about the bearer of the evaluant role
74,OBI_0000070,assay,"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies."
75,OBI_0000094,material processing,A planned process which results in physical changes in a specified input material
76,OBI_0000112,specimen role,a role borne by a material entity that is gained during a specimen collection process and that can be realized by use of the specimen in an investigation
77,OBI_0000245,organization,"An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members."
78,OBI_0000272,protocol,"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process."
79,OBI_0000371,heat function,A heat function is a function that increases the internal kinetic energy of a material
80,OBI_0000379,mechanical function,A mechanical function is a function that is realised via mechanical work (through an certain amount of energy transferred by some force).
81,OBI_0000387,cool function,A cool function is a function to decrease the internal kinetic energy of a material below the initial kinetic energy of that type of material.
82,OBI_0000401,environment control function,"An environmental control function is a function that regulates a contained environment within specified parameter ranges. For example the control of light exposure, humidity and temperature."
83,OBI_0000450,regulatory agency,A regulatory agency is a organization that has responsibility over or for  the legislation (acts and regulations) for a given sector of the government.
84,OBI_0000453,measure function,Measure function is a function that is borne by a processed material  and realized in a process in which information about some entity is expressed relative to some reference.
85,OBI_0000457,manufacturing,Manufacturing is a process with the intent to produce a processed material which will have a function for future use. A person or organization (having manufacturer role) is a participant in this process
86,OBI_0000571,manufacturer role,Manufacturer role is a role which inheres in a person or organization and which is realized by a manufacturing process.
87,OBI_0000648,clustered data set,A data set that is produced as the output of a class discovery data transformation and consists of a data set with assigned discovered class labels.
88,OBI_0000659,specimen collection process,A planned process with the objective of collecting a specimen.
89,OBI_0000663,class prediction data transformation,A class prediction data transformation (sometimes called supervised classification) is a data transformation that has objective class prediction.
90,OBI_0000700,support vector machine,A support vector machine is a data transformation with a class prediction objective based on the construction of a separating hyperplane that maximizes the margin between two data sets of vectors in n-dimensional space.
91,OBI_0000707,decision tree building data transformation,A decision tree building data transformation is a data transformation that has objective decision tree induction.
92,OBI_0000713,GenePattern software,"a software that provides access to more than 100 tools for gene expression analysis, proteomics, SNP analysis and common data processing tasks."
93,OBI_0000726,peak matching,Peak matching is a data transformation performed on a dataset of a graph of ordered data points (e.g. a spectrum) with the objective of pattern matching local maxima above a noise threshold
94,OBI_0000727,k-nearest neighbors,"A k-nearest neighbors is a data transformation which achieves a class discovery or partitioning objective, in which an input data object with vector y is assigned to a class label based upon the k closest training data set points to y; where k is the largest value that class label is assigned."
95,OBI_0000749,CART,A CART (classification and regression trees) is a data transformation method for producing a classification or regression model with a tree-based structure.
96,OBI_0000792,statistical model validation,A data transformation which assesses how the results of a statistical analysis will generalize to an independent data set.
97,OBI_0000832,measurement device,A device in which a measure function inheres.
98,OBI_0000835,manufacturer,A person or organization that has a manufacturer role
99,OBI_0000946,sterilization function,a function to remove viable organisms from an input material
100,OBI_0000947,service provider role,"is a role which inheres in a person or organization and is realized in in a planned process which provides access to training, materials or execution of protocols for an organization or person"
101,OBI_0000953,processed specimen,A specimen that has been intentionally physically modified.
102,OBI_0000963,categorical label,A label that is part of a categorical datum and that indicates the value of the data item on the categorical scale.
103,OBI_0000968,device,"A material entity that is designed to perform a function in a scientific investigation, but is not a reagent."
104,OBI_0001000,questionnaire,"A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study."
105,OBI_0001034,environmental control device,"An environmental control device is a device which has the function to control some aspect of the environment such as temperature, or humidity."
106,OBI_0001112,autoclave,"A device that is used to sterilize equipment and supplies by subjecting them to high pressure steam at 121 C or more, typically for 15 to 20 minutes depending on the size of the load and the contents."
107,OBI_0001930,categorical value specification,A value specification that is specifies one category out of a fixed number of nominal categories
108,OBI_0001933,value specification,An information content entity that specifies a value within a classification scheme or on a quantitative scale.
109,OBI_0002076,collection of specimens,A material entity that has two or more specimens as its parts.
110,OBI_0002205,histologic grade according to AJCC 7th edition,A categorical value specification that is a histologic grade assigned to a tumor slide specimen according to the American Joint Committee on Cancer (AJCC) 7th Edition grading system.
111,OBI_0002210,histologic grade according to the Fuhrman Nuclear Grading System,A categorical value specification that is a histologic grade assigned to a tumor slide specimen according to the Fuhrman Nuclear Grading System.
112,OBI_0002215,histologic grade for ovarian tumor,A categorical value specification that is a histologic grade assigned to a ovarian tumor.
113,OBI_0002216,histologic grade for ovarian tumor according to a two-tier grading system,A histologic grade for ovarian tumor that is from a two-tier histological classification of tumors.
114,OBI_0002219,histologic grade for ovarian tumor according to the World Health Organization,A histologic grade for ovarian tumor that is from a histological classification by the World Health Organization (WHO).
115,OBI_0002224,pathologic primary tumor stage for colon and rectum according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of colorectal cancer following the rules of the TNM American Joint Committee on Cancer (AJCC) version 7 classification system as they pertain to staging of the primary tumor. TNM pathologic primary tumor findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
116,OBI_0002232,pathologic primary tumor stage for lung according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of lung cancer following the rules of the TNM American Joint Committee on Cancer (AJCC) version 7 classification system as they pertain to staging of the primary tumor. TNM pathologic primary tumor findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
117,OBI_0002243,pathologic primary tumor stage for kidney according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of renal cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of the primary tumor. TNM pathologic primary tumor findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
118,OBI_0002256,pathologic primary tumor stage for ovary according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of ovarian cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of the primary tumor. TNM pathologic primary tumor findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
119,OBI_0002270,pathologic lymph node stage for colon and rectum according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of colorectal cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of regional lymph nodes.
120,OBI_0002279,pathologic lymph node stage for lung according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of lung cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of regional lymph nodes.
121,OBI_0002284,pathologic lymph node stage for kidney according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of renal cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of regional lymph nodes.
122,OBI_0002287,pathologic lymph node stage for ovary according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of ovarian cancer following the rules of the TNM AJCC v7 classification system as they pertain to staging of regional lymph nodes.
123,OBI_0002290,pathologic distant metastases stage for colon according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of colon cancer following the rules of the TNM AJCC v7 classification system as they pertain to distant metastases. TNM pathologic distant metastasis findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
124,OBI_0002298,pathologic distant metastases stage for lung according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of lung cancer following the rules of the TNM AJCC v7 classification system as they pertain to distant metastases. TNM pathologic distant metastasis findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
125,OBI_0002306,pathologic distant metastases stage for kidney according to AJCC 7th edition,A categorical value specification that is a pathologic finding about one or more characteristics of renal cancer following the rules of the TNM AJCC v7 classification system as they pertain to distant metastases. TNM pathologic distant metastasis findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
126,OBI_0002310,pathologic distant metastases stage for ovary according to AJCC 7th edition,A categorical value specification that is a  pathologic finding about one or more characteristics of ovarian cancer following the rules of the TNM AJCC v7 classification system as they pertain to distant metastases. TNM pathologic distant metastasis findings are based on clinical findings supplemented by histopathologic examination of one or more tissue specimens acquired during surgery.
127,OBI_0002314,clinical tumor stage group according to AJCC 7th edition,A categorical value specification that is an assessment of the stage of a cancer according to the American Joint Committee on Cancer (AJCC) v7 staging systems.
128,OBI_0002326,International Federation of Gynecology and Obstetrics cervical cancer stage value specification,A categorical value specification that is an assessment of the stage of a gynecologic cancer according to the International Federation of Gynecology and Obstetrics (FIGO) staging systems.
129,OBI_0002341,International Federation of Gynecology and Obstetrics ovarian cancer stage value specification,A categorical value specification that is a pathologic finding about one or more characteristics of ovarian cancer following the rules of the FIGO classification system.
130,OBI_0002356,performance status value specification,A categorical value specification that is an assessment of a participant's performance status (general well-being and activities of daily life).
131,OBI_0002357,Eastern Cooperative Oncology Group score value specification,A performance status value specification designed by the Eastern Cooperative Oncology Group to assess disease progression and its affect on the daily living abilities of the patient.
132,OBI_0002363,Karnofsky score vaue specification,A performance status value specification designed for classifying patients 16 years of age or older by their functional impairment.
133,OBI_0002989,material supplier,A person or organization that provides material supplies to other people or organizations.
134,OBI_0100051,specimen,A material entity that has the specimen role.
135,OBI_0200000,data transformation,A planned process that produces output data from input data.
136,OBI_0200033,leave one out cross validation method,"is a data transformation :  leave-one-out cross-validation (LOOCV) involves using a single observation from the original sample as the validation data, and the remaining observations as the training data. This is repeated such that each observation in the sample is used once as the validation data"
137,OBI_0200041,k-means clustering,"A k-means clustering is a data transformation which achieves a class discovery or partitioning objective, which takes as input a collection of objects (represented as points in multidimensional space) and which partitions them into a specified number k of clusters. The algorithm attempts to find the centers of natural clusters in the data. The most common form of the algorithm starts by partitioning the input points into k initial sets, either at random or using some heuristic data. It then calculates the mean point, or centroid, of each set. It constructs a new partition by associating each point with the closest centroid. Then the centroids are recalculated for the new clusters, and the algorithm repeated by alternate applications of these two steps until convergence, which is obtained when the points no longer switch clusters (or alternatively centroids are no longer changed)."
138,OBI_0200042,hierarchical clustering,"A hierarchical clustering is a data transformation which achieves a class discovery objective, which takes as input data item and builds a hierarchy of clusters. The traditional representation of this hierarchy is a tree (visualized by a dendrogram), with the individual input objects at one end (leaves) and a single cluster containing every object at the other (root)."
139,OBI_0200050,dimensionality reduction,"A dimensionality reduction is data partitioning which transforms each input m-dimensional vector (x_1, x_2, ..., x_m) into an output n-dimensional vector (y_1, y_2, ..., y_n), where n is smaller than m."
140,OBI_0200051,principal components analysis dimensionality reduction,A principal components analysis dimensionality reduction is a dimensionality reduction achieved by applying principal components analysis and by keeping low-order principal components and excluding higher-order ones.
141,OBI_0200111,data visualization,"An planned process that creates images, diagrams or animations from the input data."
142,OBI_0200171,partitioning data transformation,A partitioning data transformation is a data transformation that has objective partitioning.
143,OBI_0200175,class discovery data transformation,A class discovery data transformation (sometimes called unsupervised classification) is a data transformation that has objective class discovery.
144,OBI_0200190,clustered data visualization,A data visualization which has input of a clustered data set and produces an output of a report graph which is capable of rendering data of this type.
145,PATO_0000033,concentration of,A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.
146,PATO_0000051,morphology,A quality of a single physical entity inhering in the bearer by virtue of the bearer's size or shape or structure.
147,PATO_0000122,length,A 1-D extent quality which is equal to the distance between two points.
148,PATO_0000146,temperature,A physical quality of the thermal energy of a system.
149,PATO_0001018,physical quality,A quality of a physical entity that exists through action of continuants at the physical level of organisation in relation to other entities.
150,PATO_0001025,pressure,A physical quality that inheres in a bearer by virtue of the bearer's amount of force per unit area it exerts.
151,PATO_0001241,physical object quality,A quality which inheres in a continuant.
152,PATO_0001291,electromagnetic (EM) radiation quality,A physical quality that inheres in an bearer by virtue of how that bearer interacts with electromagnetic radiation.
153,PATO_0001300,optical quality,An EM radiation quality in which the EM radiation is within the fiat range of the spectrum visible deemed to be light.
154,PATO_0001546,quality of a solid,A physical quality inhering in a bearer by virtue of the bearer's exhibiting the physical characteristics of an entity characterized by particles arranged such that their shape and volume are relatively stable.
155,PATO_0001548,quality of a liquid,"A physical quality inhering in an entity exhibiting the physical characteristics of an amorphous (non-crystalline) form of matter between a gas and a solid that has a definite volume, but no definite shape."
156,PATO_0001739,radiation quality,A quality that inheres in an bearer by virtue of how that bearer interacts with radiation.
157,PATO_0002182,molecular quality,"A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc."
158,PATO_0002198,quality of a substance,A quality inhering in a bearer by virtue of its constitution.
159,UO_0000001,length unit,A unit which is a standard measure of the distance between two points.
160,UO_0000002,mass unit,A unit which is a standard measure of the amount of matter/energy of a physical object.
161,UO_0000003,time unit,A unit which is a standard measure of the dimension in which events occur in sequence.
162,digitrubber#DIGITRUBBER_000001,measurement quality [imr],"In relation to optical measuring methods a 
rating for the precision of a reconstructed
measurement object"
163,digitrubber#DIGITRUBBER_000002,extrudate [imr],"definded rigid Object based as result of an 
extrusion process"
164,digitrubber#DIGITRUBBER_000004,geometry [geosparql],A coherent set of direct positions in space. The positions are held within a Spatial Reference System (SRS).
165,digitrubber#DIGITRUBBER_000005,point cloud [imr],"A gathering of individual points with an 
with an unstructured spatial structure"
166,digitrubber#DIGITRUBBER_000006,triangulation [imr],"geometrical method to determine distances 
between to points"
167,digitrubber#DIGITRUBBER_000008,millimeter [nist],"""A length unit which is equal to one thousandth of a meter or 10^[-3] m."" [NIST:NIST]"
168,digitrubber#DIGITRUBBER_000009,surface of extrudate [imr],uppermost layer of the extrudate
169,digitrubber#DIGITRUBBER_000010,line in the surface of extrudate [imr],cutout of a single line of the extrudate surface
170,digitrubber#DIGITRUBBER_000012,shape [ncit],The spatial arrangement of something as distinct from its substance.
171,digitrubber#DIGITRUBBER_000013,shape [pato],"A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc)."
172,digitrubber#DIGITRUBBER_000014,stitching process [imr],"use of different algorithms to determine the 
exact allignment respectively the characteristik shared edges"
173,digitrubber#DIGITRUBBER_000015,stitching method [imr],"alligning of single measurements to form a 
connected/combined measurement"
174,digitrubber#DIGITRUBBER_000017,extrudate norm [imr],"ideal dimensions and shape of the
extrudate defined by the manufacturer"
175,digitrubber#DIGITRUBBER_000018,standard deviation [imr],"a quantity expressing by how much the
members of a group differ from the mean
 value for the group"
176,digitrubber#DIGITRUBBER_000019,standard deviation [Wikipedia],The standard deviation is a measure of the amount of variation or dispersion of a set of values. [Wikipedia]
177,digitrubber#DIGITRUBBER_000020,standard deviation [ncit],"A measure of the range of values in a set of numbers. Standard deviation is a statistic used as a measure of the dispersion or variation in a distribution, equal to the square root of the arithmetic mean of the squares of the deviations from the arithmetic mean."
178,digitrubber#DIGITRUBBER_000021,interior orientation [jade],"""The interior (intrinsic) orientation of a camera comprises all instrumental and mathematical elements which completely describe the imaging model within the camera. By taking proper account of the interior orientation, the real camera conforms to the pinhole camera model. It is a requirement of the model that there exists a reproducible image coordinate system so that geometric image values, such as measured image coordinates, can be transformed into the physical-mathematical imaging model."" (Luhmann et al. 2020: 162). A standard model of describing the interior orientation was proposed by D.C. Brown (1971)"
179,digitrubber#DIGITRUBBER_000022,camera coordinate system [jade],"""The camera coordinate system has its origin at the perspective centre of the image. It is further defined by reference features fixed in the camera (fiducial marks, réseau, sensor system). It can therefore be reconstructed from the image and related to an image measuring device"" (Luhmann et al. 2020: 278)"
180,digitrubber#DIGITRUBBER_000023,exterior orientation [jade],"""The exterior orientation consists of six parameters which describe the spatial position and orientation of the camera coordinate system with respect to the global object coordinate system"" (Luhmann et al. 2020: 277)"
181,digitrubber#DIGITRUBBER_000024,camera calibration [jade],"""The photogrammetric determination of the parameters of interior orientation is usually referred to as calibration. This is based on the idea that once a mechanically stable camera is calibrated, it may be moved from one image taking location to another whilst retaining its calibration."" (Luhmann, Robson et al. 2020: 170)"
182,digitrubber#DIGITRUBBER_000025,bundle adjustment [jade],"""Bundle adjustment [...] is a method for the simultaneous numerical fit of an unlimited number of spatially distributed images (bundles of rays). It makes use of photogrammetric observations (measured image points), survey observations and an object coordinate system. Using tie points, single images are merged into a global model in which the object surface can be reconstructed in three dimensions."" (Luhmann et al. 2020: 349f.)"
183,digitrubber#DIGITRUBBER_000026,agent [ita],An agent is a system that perceives its environment through sensors and can interact with it through actions.
184,digitrubber#DIGITRUBBER_000027,agent [ncti],"An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect."
185,digitrubber#DIGITRUBBER_000028,approximation [ita],Approximation is a technique for approximating a value using historical or available observations from the domain.
186,digitrubber#DIGITRUBBER_000029,function approximation [ita],Function approximation is a technique for estimating an unknown underlying function using historical or available observations from the domain.
187,digitrubber#DIGITRUBBER_000030,reinforcement learning [ita],"Reinforcement learning is a set of machine learning methods in which an agent autonomously learns a strategy to maximize a reward. Algorithms follow the trail-and-error principle, thus try several strategies and repeat those with a higher reward. During the training the agent produces an input, while the target output is only known to a teacher. The teacher gives feedback to the agent in form of a reward."
188,digitrubber#DIGITRUBBER_000031,library [ita],Libraries in programming languages are collections of prewritten code that users can use to optimize tasks.
189,digitrubber#DIGITRUBBER_000032,cluster analysis [ita],"Clustering or cluster analysis is a unsupervised machine learning technique, which groups the unlabelled dataset. It can be defined as a way of grouping the data points into different clusters, consisting of similar data points."
190,digitrubber#DIGITRUBBER_000033,cluster analysis [ncti],Methods for grouping objects into subsets such that those within each cluster are more closely related to one another than objects assigned to different clusters.
191,digitrubber#DIGITRUBBER_000034,data mining [ita],"A Database is a System for describing, storing and retrieving large amounts of data."
192,digitrubber#DIGITRUBBER_000035,data mining [edam],"An information set with a regular structure. Although it can be applied to any set of information the term was invented to refer to computerized data, and is used almost exclusively in computing."
193,digitrubber#DIGITRUBBER_000036,database [ita],"A Database is a System for describing, storing and retrieving large amounts of data."
194,digitrubber#DIGITRUBBER_000037,database [ncti],"An information set with a regular structure. Although it can be applied to any set of information the term was invented to refer to computerized data, and is used almost exclusively in computing."
195,digitrubber#DIGITRUBBER_000038,deep learning [ita],"Deep learning is a class of machine learning algorithms that uses multiple layers to progressively extract higher-level features from the raw input. There is no universally agreed-upon threshold of depth that divides shallow learning from deep learning, but most researchers agree that deep learning involves CAP depth higher than 2. The CAP (credit assignment path) is the chain of transformations from input to output. CAPs describe potentially causal connections between input and output. For simple neural networks (feedforward neural networks) this treshhold is reached with at least two hidden layers."
196,digitrubber#DIGITRUBBER_000039,deep learning [ncti],A subset of machine learning that is part of the broader family of machine learning methodologies based on artificial neural networks. A deep neural network has multiple layers between input and output layers to progressively extract higher level features from the raw input. (After DeepAI Machine Learning Glossary and Terms) [ NCI ]
197,digitrubber#DIGITRUBBER_000040,input layer [ita],"The input layer of a neural network is composed of artificial input neurons, and brings the initial data into the system for further processing by subsequent layers of artificial neurons. The input layer is the very beginning of the workflow for the artificial neural network."
198,digitrubber#DIGITRUBBER_000041,elastomers [ita],Elastomers are dimensionally stable but elastically deformable plastics. They are producest by vulcanization of rubber.
199,digitrubber#DIGITRUBBER_000042,output layer [ita],The output layer in an artificial neural network is the last layer of neurons that produces given outputs for the program.
200,digitrubber#DIGITRUBBER_000043,extrusion [ita],Extrusion is a process used to create objects of a fixed cross-sectional profile by pushing material through a die of the desired cross-section.
201,digitrubber#DIGITRUBBER_000044,extrusion [rex],"A transformation in which an atom or group Y connected to two other atoms or groups X and Z is lost from a molecule, leading to a product in which X is bonded to Z, e.g. X-Y-Z --> X-Z + Y."
202,digitrubber#DIGITRUBBER_000045,extrusion [chmo],A process used to create objects of a fixed cross-sectional profile by forcing or drawing a material through a die.
203,digitrubber#DIGITRUBBER_000046,hidden layer [ita],"In neural networks, a hidden layer is located between the input and output of the algorithm, in which the function applies weights to the inputs and directs them through an activation function as the output. In short, the hidden layers perform nonlinear transformations of the inputs entered into the network."
