count,ID (CQ & US),Description (Competency Questions and User Stories),Ind. priority,Global priority,Work package,Project partners involved,Workflow Specification,,,,,,,,,,,,,,,Concepts and Ontology Terms,Technical Implementation,,Related User Stories
10,IFNANO:10_CQ,What is the correlation between photometric data and the properties of raw rubber?,10,,1.2.4,IFNANO/DIK,Physicochemical material properties of raw rubber samples ,"DIK, email",DIK/IFNANO,,,,,Extracting chemical constituents and analyzing the homogeneity of the sample,Potometric analysis,DIK/IFNANO,,,"Fourier analysis, histograms and other derived data are extracted from the Images, and adding added as additional meta data to the database",,,,,,
,,,,,,,Raman spectral database,"DIK, email",DIK/IFNANO,,,,,,,,,,,,,,,,
11,IFNANO:11_CQ,How can the raw samples be statistically discriminated?,10,,1.2.4,IFNANO/DIK,Physicochemical material properties of raw rubber samples,"DIK, email",DIK/IFNANO,,,,,Extracting relevant data from the imaging using methods of image analysis,chemometric data,DIK/IFNANO,,,"Data from fourier analysis, histograms and other derived data are correlated with the rheological properties",,,,,,
,,,,,,,photometric image database,"DIK, email",DIK/IFNANO,,,,,,,,,,,,,,,,
bt,HsH:01_CQ,"What is the unit cost of producing product X under conditions n1 , n2 , .. , nm during the period of time from t1 to t2?.",9,,7.1.2,DIK,Human resources costs per hour and job role (live),data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,HsH/DIK,,,,,"simulation modelling and profitability analysis/Calculate total costs of production to analyze the profitability of the system with and without digitized mixing, milling and extrusion processes under various states",,HSH,,,determination of products for analysis – determination of operating conditions - refined and homogenized static data is integrated into simulation model – live data is integrated into simulation model – simulation model calculates total costs per unit and category based on interrelated data,,,"unit cost of production, average costs, cost per unit, costs per piece, product costs/expert interviews, web-content analysis, flat file database",,,"HSH_US_1, HSH_US_6, HSH_US_7, HSH_US_8"
,,,,,,,maintenance costs per day and machine (static),,,,,,,,,,,,,,,,,,
,,,,,,,raw material storage costs per day (static),,,,,,,,,,,,,,,,,,
,,,,,,,finished product storage costs per day (static),,,,,,,,,,,,,,,,,,
,,,,,,,energy costs per hour and machine (live),,,,,,,,,,,,,,,,,,
,,,,,,,investment costs for digitization equipment per unit (static),,,,,,,,,,,,,,,,,,
,,,,,,,environmental regulations per product type (static),,,,,,,,,,,,,,,,,,
,,,,,,,waste management costs per unit (static),,,,,,,,,,,,,,,,,,
13,HsH:02_CQ,"what is the operational cost of machine X under conditions n1 , n2 , .. , nm during the period of time from t1 to t2?",9,,7.1.2,DIK,Type of machines (static),determination of machinery - data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,HsH/DIK,,,,,simulation modelling and profitability analysis/Estimate operation costs of machinery to answer 01_CQ,,HSH,,,refined and homogenized static data is integrated into simulation model – live data is integrated into simulation model – simulation model calculates operational costs per machine based on interrelated data,,,"Operational costs, operating costs, working expenses, operating expenses, running costs, overheads/ expert interviews, literature review, web-content analysis, flat file database",,,"HSH_US_1, HSH_US_7, HSH_US_9"
,,,,,,,conditions for different types of machines (static),determination of machinery - data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,HsH/DIK,,,,,,,,,,,,,,,,
,,,,,,,maintenance costs per day and type of machine (static),determination of machinery - data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,HsH/DIK,,,,,,,,,,,,,,,,
,,,,,,,energy costs per hour,determination of machinery - data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,HsH/DIK,,,,,,,,,,,,,,,,
,,,,,,,type of machine and condition (live),determination of machinery - data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,HsH/DIK,,,,,,,,,,,,,,,,
14,HsH:03_CQ,what is the maintenance cost of machine X in the period of time from t1 to t2?,9,,7.1.2,DIK,Mean time to failure per machine (static),determination of machinery - data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,simulation modelling and profitability analysis/ Estimate maintenance costs of machinery to answer 01_CQ],,HSH,,,refined and homogenized static data is integrated into simulation model – live data is integrated into simulation model – simulation model calculates maintenance costs per machine statically,,,"maintenance costs, service operation costs, mean time between maintenance, maintenance charges, maintenance expenses, upkeep cost/ expert interviews, web-content analysis, literature review, flat file database",,,"HSH_US_1, HSH_US_5, HSH_US_7, HSH_US_9"
,,,,,,,mean time to repair per machine,determination of machinery - data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,average costs per repair (static),determination of machinery - data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
15,HsH:04_CQ,what are the throughputs of machine X for product Y in the period of time from t1 to t2?,10,,7.2.2,DIK,processing duration per machine and product type (static),data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,DIK/HSH,,,,,Estimate throughput rates of production system to answer 13_CQ,,HSH,,,refined and homogenized static data is integrated into simulation model – live data is integrated into simulation model – simulation model calculates total costs per unit and category based on interrelated data,,,"turnover, performance, production rate, operational capacity, flow rate, capacity/ expert interviews, literature review, web-content analysis, flat file database",,,"HSH_US_1, HSH_US_9, HSH_US_10"
,,,,,,,mean time to failure per machine (static),data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,mean time to repair per machine (static),data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,waste rate per machine (static),data collection based on secondary data sources – empirical data collection and validation through interviews– data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
16,HsH:05_CQ,what are the indirect cost involved in the cost structure of a given product?,10,,7.1.2,DIK,Cost structure per product (static),determination of products for analysis – secondary data collection - empirical data collection – data refinements and homogenization,DIK/HSH,,,,,simulation modelling and profitability analysis/ Estimate indirect costs of production system to answer 01_CQ,,HSH,,,refined and homogenized static data – data collection for indirect cost factors – integration of indirect cost factors into simulation model,,,"indirect costs, fixed costs, cost share, cost elements, cost composition /literature review, expert interviews, flat file database",,,"HSH_US_1, HSH_US_2, HSH_US_9"
,,,,,,,indirect cost factors per product (static),determination of products for analysis – secondary data collection - empirical data collection – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
17,HsH:06_CQ,what percentage of indirect cost affects the unit price of product X?,8,,7.1.2,DIK,Cost structure per product (static),determination of products for analysis – secondary data collection - empirical data collection – data refinements and homogenization],DIK/HSH,,,,,simulation modelling and profitability analysis/Estimate indirect cost share to answer 05_CQ,,HSH,,,refined and homogenized static data – data collection for indirect cost factors – integration of indirect cost shares into simulation model,,,"indirect costs, fixed costs, cost share, cost elements, cost composition/literature review, expert interviews, flat file database",,,"HSH_US_1, HSH_US_2, HSH_US_9"
,,,,,,,indirect cost factors per product (static),determination of products for analysis – secondary data collection - empirical data collection – data refinements and homogenization],DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,sheet of indirect costs per product and cost factor (static),determination of products for analysis – secondary data collection - empirical data collection – data refinements and homogenization],DIK/HSH,,,,,,,,,,,,,,,,
18,HsH:07_CQ,"what is the cost of waste material from machine x under conditions n1 , n2 , .. , nm during the period of time from t1 to t2?",8,,7.1.2,DIK,Waste rate per machine and condition (static),determination of machinery – determination of conditions - data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,simulation modelling and profitability analysis/ Estimate wastage costs of production system to answer 01_CQ,,HSH,,,refined and homogenized static data is integrated into simulation model – live data is integrated into simulation model – simulation model calculates costs of waste materials,,,"discard, wastage, waste, defective goods, garbage, scrap/literature review, expert interviews, flat file database",,,"HSH_US_3, HSH_US_4"
,,,,,,,Costs of wastage per material and amount (live),determination of machinery – determination of conditions - data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
19,HsH:08_CQ,what is the cost of the operator X of machine Y in the period of time from t1 to t2?,8,,7.1.2,DIK,Wages per hour and job role (live),determination of job roles – data collection based on secondary data sources – data refinements and homogenization,DIK/HSH,,,,,simulation modelling and profitability analysis/Estimate human resource costs for the production system to answer 01_CQ,,HSH,,,refined and homogenized static data is integrated into simulation model – live data is integrated into simulation model – simulation model calculates costs of operators,,,"wages, human resource costs, pay, earnings, salary, operator, employee, worker, supervisor, remuneration/ literature review, flat file database",,,"HSH_US_1, HSH_US_2, HSH_US_9, HSH_US_10"
,,,,,,,working schedules (static),determination of job roles – data collection based on secondary data sources – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
20,HsH:09_CQ,what is the cost of the raw material per unit of measurement?,10,,7.1.2,DIK,Raw material prices (live),data collection based on secondary data sources – data refinements and homogenization,DIK/HSH,,,,,simulation modelling and profitability analysis/ Estimate raw material costs for the production system to answer 01_CQ,,HSH,,,live data is integrated into simulation model – simulation model calculates costs of raw materials,,,"raw material costs, feedstock, material costs, costs of material, supplies, costs of supplies/literature review, expert interviews, flat file database",,,"HSH_US_1, HSH_US_2, HSH_US_6, HSH_US_9, HSH_US_10"
21,HsH:10_CQ,what is the storage cost of a batch of raw material?,8,,7.1.2,DIK,Average storage duration per raw material (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,simulation modelling and profitability analysis/ Estimate raw material storage costs for the production system to answer 01_CQ,,HSH,,,static data is integrated into simulation model - live data is integrated into simulation model – simulation model calculates storage costs per unit,,,"raw materials, crude materials, commodities, basic materials, feedstock, storage costs, storage fees, warehouse charges, storage value, raw material insurance, running costs, upkeep costs/ expert interviews, literature review, web-content analysis, flat file database",,,"HSH_US_2, HSH_US_7"
,,,,,,,raw material prices (live),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,running costs of storage area (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,storage interests (live),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,obsolescence rate (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,human resource costs for storage workers (live),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,insurance costs per material type (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
22,HsH:11_CQ,what is the storage cost of a batch of the terminated products?,9,,7.1.2,DIK,Average storage duration per product (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,simulation modelling and profitability analysis/ Estimate final product storage costs for the production system to answer 01_CQ,,HSH,,,static data is integrated into simulation model - live data is integrated into simulation model – simulation model calculates storage costs per unit,,,"final products, end products, finished products, final goods, end goods, finished goods, storage costs, storage fees, warehouse charges, storage value, raw material insurance, running costs, upkeep costs/ expert interviews, literature review, web-content analysis, flat file database",,,"HSH_US_2, HSH_US_7"
,,,,,,,final product value (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,running costs of storage area (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,storage interests (live),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,obsolescence rate (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,human resource costs for storage workers (live),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,insurance costs per product type (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
23,HsH:12_CQ,what are the transportation costs involved in the production of a given product?,6,,7.1.2,DIK,Shipping costs per product type and unit (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,simulation modelling and profitability analysis/ Estimate transportation costs for shipping final products to answer 01_CQ,,HSH,,,static data is integrated into simulation model – simulation model calculates transportation costs per unit,,,"transportation, logistics, shipping, distribution, transport, dispatching, forwarding, consignment/ expert interviews, literature review, web-content analysis, flat file database",,,HSH_US_9
,,,,,,,packaging costs per product type and unit (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
24,HsH:13_CQ,what is the turnover for a product X during the period of time from t1 to t2,10,,7.1.2,DIK,Average sales value per product (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,"simulation modelling and profitability analysis/ Calculate total turnover of production to analyze the profitability of the system with and without digitized mixing, milling and extrusion processes under various states",,HSH,,,static data is integrated into simulation model - simulation model calculates turnover per unit – simulation model calculates profit per product,,,"turnover, profit, product value, gross sales, revenues, expense ratio, / expert interviews, literature review, web-content analysis, flat file database",,,"HSH_US_1, HSH_US_2, HSH_US_10"
,,,,,,,final product value (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
,,,,,,,total costs of production per product (static),data collection based on secondary data sources – empirical data collection and validation through interviews – data refinements and homogenization,DIK/HSH,,,,,,,,,,,,,,,,
25,JADE:01_CQ,How can I measure a rubber extrude geometry inline?,10,,AP3,"IAPG, IMR, DIK",Current conveyor belt speed from DIK,"Online communication in frequency of one second or below for conveyor belt speed, Camera calibration handed over beforehand (ASCII file), Highspeed communication through e.g. NTP or PTP time protocols for time reference",DIK/IMR/JADE,,every second or less,,,CQ_02,"Geometries XYZ1 and XYZ2 from two different positions, Measurement time in reference time system",IAPG/IMR,,seconds,Output as ASCII file format in frequency of seconds (higher internally for subsequent process),,,,,,
,,,,,,,External time reference from central data processing unit (probably run by ITA),"Online communication in frequency of one second or below for conveyor belt speed, Camera calibration handed over beforehand (ASCII file), Highspeed communication through e.g. NTP or PTP time protocols for time reference",DIK/IMR/JADE,,every second or less,,,,,,,,,,,,,,
,,,,,,,Camera/system calibration data from IAPG/IMR,"Online communication in frequency of one second or below for conveyor belt speed, Camera calibration handed over beforehand (ASCII file), Highspeed communication through e.g. NTP or PTP time protocols for time reference",DIK/IMR/JADE,,every second or less,,,,,,,,,,,,,,
26,JADE:02_CQ,How can I determine geometric extrude changes inline?,8,,AP 4.3.8,"IAPG, IMR",Output data from JADE:01_CQ,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Target geometry as shape file, STL, or similar once before each process, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",IMR/JADE,,,,,"ITA: Machine learning for controlling the setup loop, DIK: Adjustment of control loop?","Geometry deviations ΔXYZ1 and ΔXYZ2, Referenced either time-resolved or positioned",ITA/DIK,,seconds,output as ASCII file format in frequency of seconds,,,,,,
,,,,,,,XYZ1,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Target geometry as shape file, STL, or similar once before each process, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",IMR/JADE,,,,,,,,,,,,,,,,
,,,,,,,XYZ2,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Target geometry as shape file, STL, or similar once before each process, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",IMR/JADE,,,,,,,,,,,,,,,,
,,,,,,,Target geometry from DIK,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Target geometry as shape file, STL, or similar once before each process, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",IMR/JADE,,,,,,,,,,,,,,,,
,,,,,,,Camera/system calibration data from IAPG/IMR,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Target geometry as shape file, STL, or similar once before each process, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",IMR/JADE,,,,,,,,,,,,,,,,
,,,,,,,External time reference from central data processing unit (probably run by ITA),"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Target geometry as shape file, STL, or similar once before each process, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",IMR/JADE,,,,,,,,,,,,,,,,
27,JADE:03_CQ,How can I determine thermal properties of the extrude?,6,,AP 4.3.3,IAPG,Output data from JADE:01_CQ,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",ITA/IMR/JADE,,,,,"ITA: Machine learning for controlling the setup loop, DIK: Adjustment of control loop?","Thermal distribution, related to °K, localized on the object, Referenced either time-resolved or positioned",ITA/DIK,,seconds,Output as ASCII file format in frequency of seconds,,,,,,
,,,,,,,XYZ1,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",ITA/IMR/JADE,,,,,,,,,,,,,,,,
,,,,,,,XYZ2,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",ITA/IMR/JADE,,,,,,,,,,,,,,,,
,,,,,,,Camera/system calibration data from IAPG/IMR,"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",ITA/IMR/JADE,,,,,,,,,,,,,,,,
,,,,,,,External time reference from central data processing unit (probably run by ITA),"Process integrated on the same machine as JADE:01_CQ. No interfaces needed for this, Camera calibration handed over beforehand (ASCII file), Highspeed communication through, e.g. NTP or PTP time protocols for time reference",ITA/IMR/JADE,,,,,,,,,,,,,,,,
28,JADE:04_CQ,What are the spectral properties of raw rubber?,8,,AP 1.2.5,"IAPG, IFNANO","Meta information from DIK: Material name and distance from camera to a distinct point in the object space that relates the camera to the raw material’s height (DIK or IFNANO or IAPG),",,DIK or IFNANO or IAPG,,,,,"IFNANO: relation to other spectral analyses, DIK: Adapting workflow to goods inward inspection",Imagery with RGB values and metric pixel values,IFNANO/DIK,,,RGB images,,,,,,
,,,,,,,Camera calibration data from IAPG,,DIK or IFNANO or IAPG,,,,,,,,,,,,,,,,
29,DIK:01_CQ,What is the accepted value range (min/max) of product property X during the manufacturing step Y?‎,7,,AP 3,"DIK, IFNANO, IMR, IAPG, maybe ITA","At the moment (DIK): Product property X,  future inline measuring technology (IFNANO, IMR, IAPG) ",,"DIK, IFNANO, IMR, IAPG",,,,,Machine Learning Model,,"DIK, ITA",,,,,,"Manufacturing ‎step Y, Product property X",,,
30,DIK:02_CQ,How does the value of process measurement parameter X change when process control parameter Y changes by value Z.,10,,AP 3,"DIK, IFNANO, IMR, IAPG, maybe ITA",,"Measurement data (pressure, temperature) from the measuring box via USB stick. Record speed data handwritten, Record temperature control data handwritten, Record mass throughput data handwritten","Extruder (DIK):Process measurement parameter X:Temperature (different measuring positions), Pressure (different measuring positions), Mass throughput, Process control parameter Y: Speed Temperature control (one temperature control unit per zone) future inline measuring technology (IFNANO, IMR, IAPG) Process measurement parameter X:",,,,,ITA: Machine Learning Model,,ITA,,,not finally defined,,,"process measurement parameter X, process control parameter Y",,,
31,DIK:03_CQ,What is the setup value range (min/max) of the process control parameter X for the manufacturing ‎step Y to achieve product property Z?‎,10,,AP3,"DIK, IFNANO, IMR, IAPG, maybe ITA","At the moment: Measurement data via USB stick, record data handwritten",,"Manufacturing ‎step Y (DIK):Mixing, Process control parameter X: Speed Temperature control Process measurement parameter: Mass temperature Power Torque Rolling Extrusion Process control parameter X: Speed, Temperature control (one temperature control unit per zone), Process measurement parameter: Temperature (different measuring positions), Pressure (different measuring positions), Mass throughput, Product property Z: List not finally defined",,,,,ITA: Machine Learning Model,,ITA,,,,,,"Manufacturing ‎step Y, Process control parameter X and Process measurement parameter, Product property Z",,,
32,DIK:04_CQ,DELETED,DELETED,,DELETED,,,,DELETED,,,,,DELETED,DELETED,DELETED,,,,,,deleted,,,
33,DIK:05_CQ,How do the values of property X on product Y change in the time from t1 to tn?,7,,AP3,"DIK, IFNANO, IMR, IAPG, maybe ITA","Product y, property x",,"DIK, IFNANO, IMR, IAPG",,,,,"DIK, ITA: Machine Learning Model",,"DIK, ITA",,,,,,"Product Y, Property X",,,
34,DIK:06_CQ,What are the chemical ingredients in the recipe X?,10,,AP3,DIK,List of the chemical ingredients in the recipe X,At the moment: Excel-file,DIK,,,,,DIK: for processing the compound; maybe IFNANO (for LIBS),,"DIK,IFNANO",,,At the moment: Excel-file,,,all chemical ingredients in the recipe X,,,
35,DIK:07_CQ,DELETED,DELETED,DELETED,,,,,DELETED,,,,,DELETED,DELETED,DELETED,,,,,,deleted,,,
36,DIK:08_CQ,What is the ratio of chemical ingredients in the recipe X?,10,,AP3,DIK,DIK: Ratio of chemical ingredients in the recipe X,At the moment: Excel-file,DIK,,,,,DIK: for processing the compound; maybe IFNANO (for LIBS),,"DIK,IFNANO",,,At the moment: Excel-file,,,all chemical ingredients + ratio in the recipe X,,,
37,DIK:09_CQ,How much scrap material was extruded in the period from t1 to tn?,10,,not defined in the project description.,"DIK, IFNANO, IMR, IAPG, maybe ITA",DIK: Weigh scrap material,,DIK,,,,,DIK: Process optimization; maybe ITA: Machine Learning Model,,"DIK,ITA",,,Not finally defined,,,,,,
38,DIK:10_CQ,DELETED,DELETED,DELETED,,,,,DELETED,,,,,DELETED,DELETED,DELETED,,,,,,deleted,,,DELETED
39,DIK:11_CQ,How many workers are needed for running machine X during the time period from t1 to tn?.,7,,not defined in the project description,,"- at the moment: DIK: Number of workers for running machine X, future extrusion line with inline measuring technology: DIK, IFNANO, IMR, IAPG, maybe ITA",,"DIK, IFNANO, IMR, IAPG, maybe ITA",,,,,DIK: Work planning; maybe HsH (cost calculation),,"DIK, HsH",,,not finally defined,,,"Machine X, Number of workers for the machine X",,,
40,DIK:12_CQ,"What is the minimal set {X1, X2,..Xn} of relevant „smeared“ quantities to describe the curing process of mixture Y?",5,,AP 5,DIK,,,DIK,,,,,,,DIK,,,,,,,,,
